record_id,node_id,source_platform,publish_time,post_title,post_tag,raw_text,source_url,user_id,case_note
c16,ID_23579a795df03145,Bilibili,2026-03-23T18:00:00,打虚无的一点心得,"战斗,攻略",击破机制有策略深度，行动轴很有意思，配队自由度也高。,https://example.com/p16,u016,覆盖C1战斗策略与C2配队多样性；一条正文跨两个子标签的正面评价。
c17,ID_02bbfa0a-fdb7-4291-b59f-2f588efe27dc,Xiaohongshu,2026-03-23T18:15:00,救命忘却之庭打不过,"高难,挑战,深渊",太难了，恶心机制太多，门槛太高了，没有高练度根本过不了。,https://example.com/p17,u017,覆盖C4挑战难度tag；强负面评价案例。
c18,ID_dbaf8ec0-b390-4dd6-8b97-4e6214b5b6af,Tieba,2026-03-23T18:30:00,日常刷本谁懂啊,"速刷,日常,自动",自动战斗很蠢，刷素材太坐牢了，每天重复体验差。,https://example.com/p18,u018,覆盖C5自动化/速刷体验标签；锚点词密集命中的案例。
c19,ID_fb4dcdca-22db-401f-bbac-5ddb83bd96ab,NGA,2026-03-23T18:45:00,说说对这版本的看法,"版本更新,前瞻",这个版本内容很多，有量管饱，质量不错，但新地图有点空。,https://example.com/p19,u019,覆盖D1版本更新规模与D3地图探索的跨维度切分案例。
c20,ID_967c3861-a090-43f8-b048-c250d62fa875,Weibo,2026-03-23T19:00:00,好无聊啊啊啊啊,"长草,日常",长草期真的没事做，版本后半太空了，每天上线签个到就退了。,https://example.com/p20,u020,覆盖D2长草期内容填充标签；负面案例。
c21,ID_8fd9549f-6626-4100-b677-f40dff2031b1,Bilibili,2026-03-23T19:15:00,回去看了看老地图居然更新了,"老地图,复用,更新",旧地图回访体验不错，复用得好，老玩法更新也到位了。,https://example.com/p21,u021,覆盖D4老内容复用标签；正面评价案例。
c22,ID_696a8810-5f37-40b1-80c4-0ee6b2dd46a0,NGA,2026-03-23T19:30:00,练一个角色要多久啊,"养成,资源,成本",养成成本太高了，太费材料，培养一个角色要好久，资源不够用。,https://example.com/p22,u022,覆盖E1养成系统舒适度标签；负面案例，与c5的E2遗器标签形成维度内对比。
c23,ID_8864e903-f313-4c1d-a682-f1ab02b12037,Xiaohongshu,2026-03-23T19:45:00,这游戏菜单是不是故意藏起来的,"界面,操作,体验",游戏UI太难找了，界面乱，操作麻烦，切换起来好烦。,https://example.com/p23,u023,覆盖E3用户界面与交互标签；多锚点词密集负面影响。
c24,ID_69f2b8ca-4f87-43a4-913f-de6fd72a9dc2,Tieba,2026-03-23T20:00:00,好友列表有啥用,"社交,助战",好友系统没用，社交太弱了，存在感低，助战倒是挺方便的。,https://example.com/p24,u024,覆盖E4社交系统标签；正负混合评价案例。
c25,ID_10840ed5-c3d6-4839-a10f-e845a86ab3df,NGA,2026-03-23T20:15:00,随手截几张图太美了,"美术,场景,风格",这个星球场景好看，美术很强，视觉震撼，有记忆点。,https://example.com/p25,u025,覆盖F1地图场景美术标签；纯正面评价案例。
c26,ID_9b38275a-5ead-4264-bb48-a05224118e49,Bilibili,2026-03-23T20:30:00,就这建模？？,"建模,特效",怪物做得一般，动作僵，面部崩了，打击感也差。,https://example.com/p26,u026,覆盖F2角色与怪物建模标签；多锚点词负面案例。
c27,ID_591e2462-6611-4800-ac0f-821fe8f05987,Weibo,2026-03-23T20:45:00,单曲循环停不下来了,"音乐,配乐,BGM",BGM 神了，配乐一直是铁道的强项，音效也不错。,https://example.com/p27,u027,覆盖F3音乐与音效标签；纯正面案例。
c28,ID_225e75e1-5e5d-4ba9-b0c4-eb3cfb56c7fe,NGA,2026-03-23T21:00:00,关于抽卡我有话说,"抽卡,卡池,氪金",抽卡太贵了，星琼不够，保底还行但吃相难看。,https://example.com/p28,u028,覆盖G1抽卡体验标签；正负混合但整体负面案例。
c29,ID_c30780fd-2f09-4117-8d96-8092731bd5a5,Xiaohongshu,2026-03-23T21:15:00,这次给的东西多吗,"福利,版本奖励",这次活动送的星琼不少，邮件补偿也很及时，感觉挺良心的。,https://example.com/p29,u029,覆盖G2版本福利与活动奖励标签；正面评价案例。
c30,ID_6483b2fa-ac70-4050-bb07-82aad0e4f95d,Tieba,2026-03-23T21:30:00,月卡买不买求建议,"月卡,氪金,性价比",小月卡性价比还行，大月卡太亏了，通行证回报也不够看。,https://example.com/p30,u030,覆盖G3大月卡/小月卡价值标签；正负混合评价案例。
c31,ID_a192c408-ef74-436d-a19f-32c7d9a45345,NGA,2026-03-23T21:45:00,这皮肤卖这个价认真的吗,"皮肤,定价,外观",皮肤太贵了，质量和价格不匹配，不值这个价，缺乏诚意。,https://example.com/p31,u031,覆盖G4皮肤等外观定价标签；强负面评价案例。
c32,ID_13dca892-6177-45d5-93d9-6b7856606bc6,Bilibili,2026-03-23T22:00:00,铁道的宇宙感真的拉满了,"世界观,沉浸感",很有沉浸感，宇宙感强，世界观很稳，每个星球的文化都很自洽。,https://example.com/p32,u032,覆盖H1世界观沉浸感标签；纯正面评价案例。
c33,ID_4c178b97-c45e-4064-8c02-f2df32c01279,Weibo,2026-03-23T22:15:00,打完主线之后干啥啊,"吐槽,endgame",没动力了，主线打完就不知道干什么了，后期空，缺乏长期追求。,https://example.com/p33,u033,覆盖H2长期目标与动力标签；负面评价案例，与D2长草期标签形成区分。
c34,ID_c4ad07aa-73ce-43d4-b019-9f752c3f536f,Xiaohongshu,2026-03-23T22:30:00,回坑劝退指南（不是,"回坑,新手,追赶",回坑难，断了半年追赶压力太大了，资源跟不上，新手引导也一般。,https://example.com/p34,u034,覆盖H3新手/回坑体验标签；负面评价案例。
c35,ID_35d54aed-73ac-48d5-a5f8-e3e52167027a,NGA,2026-03-23T22:45:00,编剧是不是有亲儿子,"剧情,偏心",某些星球的剧情资源严重倾斜，偏心太明显了，其他星球戏份太少了。,https://example.com/p35,u035,覆盖A3区域剧情均衡性标签；负面评价案例。
c36,ID_8a3c54f3-9678-4915-9849-51b2862a4f2c,Bilibili,2026-03-23T23:00:00,等了这么久终于填坑了！,"剧情,伏笔,填坑",终于提到了之前的伏笔，回收伏笔做得好，又提起了那件事。,https://example.com/p36,u036,覆盖A4历史回访与记忆连接标签；正面案例。
c37,ID_f093d68c-5c2e-4f4e-89ba-c9537f06361d,Weibo,2026-03-23T23:15:00,这支线也太水了吧,"支线,活动剧情",支线剧情很水，对话又臭又长，内容很敷衍，深度不够。,https://example.com/p37,u037,覆盖A6支线与活动剧情质量标签；负面评价案例。
c38,ID_4e2982fd-ca0a-4fa1-88f5-4c0647a4fbed,Tieba,2026-03-23T23:30:00,角色帖随便聊,"黄泉,人设",这个角色性格鲜明，人设讨喜，很有魅力，台词也写得好。,https://example.com/p38,u038,覆盖B4人设独特性与魅力标签；纯正面评价案例。
c39,ID_b5b25faf-80f2-48c0-b83c-c7c14c919051,NGA,2026-03-23T23:45:00,现在还能玩什么阵容啊,"配队,环境,阵容",环境固化太严重了，阵容套路太固定，绑死了几个角色，选择太少。,https://example.com/p39,u039,覆盖C2队伍搭配多样性标签（独立案例）；负面评价案例。
c40,ID_5227fa46-17fa-4592-b16e-f7f3961c0e75,Bilibili,2026-03-24T08:00:00,我吹爆这个角色,"飞霄,强度,评测",强度不错，数值合理，实战体验也很好，定位清晰不尴尬。,https://example.com/p40,u040,覆盖B2角色强度与平衡标签；正面评价案例，与c1中的负面提及形成对比。
c41,ID_23f820b7-a865-496c-be30-84c86b30ba24,NGA,2026-03-24T08:15:00,练度和遗器那点事,"养成,遗器,配装",遗器掉落还是难受，不过管理比以前方便多了，强化体验有改善。,https://example.com/p41,u041,覆盖E2遗器系统体验标签的正负混合案例；与c5形成同标签不同态度对比。
c42,ID_738b1a32-a1a0-4d2a-84ff-bd7bff2838d5,Weibo,2026-03-24T08:30:00,转发抽奖,"活动,福利",转发关注抽送周边 点赞关注不迷路 私聊领取 加微：yyy999,https://example.com/p42,u042,展示垃圾信息清洗能力；模板营销号+微信引流双重特征，应判为spam。
c43,ID_9298527c-2628-4c7b-a940-370f7aa2525d,Bilibili,2026-03-24T08:45:00,啊啊啊啊啊啊啊,"花火,黄泉",啊啊啊啊啊啊！！！！,https://example.com/p43,u043,展示无效文本过滤能力；纯情绪感叹无实质信息，应判为无效。
c44,ID_02bbfa0a-fdb7-4291-b59f-2f588efe27dc,Xiaohongshu,2026-03-24T09:00:00,一句话快评2.7,"版本更新,评价",还行。,https://example.com/p44,u044,短文本边界案例；极短正文不足以准确判别标签，即使标题暗示版本更新。
c45,ID_8b8987dc-3b60-4579-b320-6d1bc68e6c4b,NGA,2026-03-24T09:15:00,这版本真的量大管饱,"版本更新,内容",内容很多，量大管饱，质量也保持住了，地图活动角色都有东西。,https://example.com/p45,u045,覆盖D1版本更新规模与质量标签；纯正面评价，与c19的混合评价对比。
c46,ID_8a3c54f3-9678-4915-9849-51b2862a4f2c,Tieba,2026-03-24T09:30:00,氪金值不值问一下,"付费,性价比",抽卡体验好，保底设计合理，但皮肤太少了，想氪都没地方氪。,https://example.com/p46,u046,覆盖G1与G4跨标签切分案例；同一正文内自然分出抽卡正面+外观供给负面。
c47,ID_731872d9-55d2-4314-b839-d70aea6f273c,Bilibili,2026-03-24T09:45:00,跑图随感,"地图,探索",跑图舒服，解谜也有意思，奖励反馈到位，就是有些角落找不到。,https://example.com/p47,u047,覆盖D3新地图探索体验标签；正面为主的混合案例。
c50,ID_8fd9549f-6626-4100-b677-f40dff2031b1,Tieba,2026-03-24T10:30:00,有没有人觉得现在太无脑了,"战斗,难度",战斗缺乏策略，无脑平a就能过，深度不足，没什么思考空间。,https://example.com/p50,u050,覆盖C1战斗策略深度标签（独立案例）；负面评价，锚点词密集命中。
c51,ID_b865c670-1ea1-4fbb-b633-528a7e613240,Xiaohongshu,2026-03-24T10:45:00,腼腆的 tríes了！！！,"杂谈,闲聊",。,https://example.com/p51,u051,展示无效文本过滤能力；标题含乱码，正文仅一个句号，应判为无效。
c52,ID_0d4dda0d-af92-4acc-b54d-1ef7d939e37a,NGA,2026-03-24T11:00:00,说个大家可能不爱听的,"运营,公告,版本",官方沟通差，出了问题就装死，回应不及时，每次都靠玩家闹大才处理。,https://example.com/p52,u052,覆盖H4运营沟通与舆情响应标签；强负面案例，与c3形成同维度正负对比。
c53,ID_55a88f4a-7cd0-4c5b-b262-1a122a0f6ca2,Bilibili,2026-03-24T11:15:00,xx还记得吗反正官方忘了,"剧情,伏笔,回收",那个剧情伏笔被忘了，没后续，完全被搁置了，很失望。,https://example.com/p53,u053,覆盖A4历史回访与记忆连接标签；负面案例，与c36形成同标签正负对比。
c54,ID_20b2653a-88dc-41f0-aa5a-edf12bf8538b,Weibo,2026-03-24T11:30:00,钱包的痛和快乐,"抽卡,福利,氪金",抽卡太贵了吃相难看，不过版本福利还算多，送的星琼补回来了一点。,https://example.com/p54,u054,覆盖G1与G2跨标签切分案例；抽卡负面+福利正面的自然切分。
c55,ID_967c3861-a090-43f8-b048-c250d62fa875,Tieba,2026-03-24T11:45:00,随便吐个槽,"养成,系统",养成舒服多了，资源压力比以前小，培养周期缩短了不少。,https://example.com/p55,u055,覆盖E1养成系统舒适度标签；正面案例，与c22的负面形成对比。
c56,ID_6d3e1f7d-e1b7-4e0f-9db7-cd9d676dddd8,NGA,2026-03-24T12:00:00,来聊聊那段演出,"演出,CG,配音",演出挺棒，镜头好看，但配音偶尔出戏，动画有几帧不太对。,https://example.com/p56,u056,覆盖A7叙事演出表现标签的第二个案例；正负混合，与c12对比验证稳定性。
c57,ID_b8be656d-0fe5-42fb-bb2f-994e7abf42be,Bilibili,2026-03-24T12:15:00,好康的都在这里,"流萤,立绘,外观",立绘好看，颜值高，不够精致的地方也不多，总体满意。,https://example.com/p57,u057,覆盖B1角色外观设计标签的第二个案例；正面为主案例。
c58,ID_a662f993-ec71-43b2-840b-46cbb196c199,Xiaohongshu,2026-03-24T12:30:00,这颜值我可以,"景元,皮肤",皮肤价格合理，愿意买，做得也好看，这次很有诚意。,https://example.com/p58,u058,覆盖G4皮肤等外观定价标签；正面案例，与c31形成同标签正负对比。
c59,ID_d1338c57-a369-43eb-be7e-dfb75d036d1f,Weibo,2026-03-24T12:45:00,痛并快乐着.jpg,"抽卡,卡池",歪了三次才出，星琼不够用，保底还行但概率体验差，痛苦。,https://example.com/p59,u059,覆盖G1抽卡体验标签的第二个案例；负面评价，验证同标签稳定性。
c60,ID_197cf6ba-729d-4ed5-a81c-9db9255c76e8,NGA,2026-03-24T13:00:00,萌新体验报告,"新手,入门,引导",新手引导不错，上手没什么门槛，追赶也轻松，新人友好。,https://example.com/p60,u060,覆盖H3新手/回坑体验标签；正面案例，与c34形成同标签正负对比。
c61,ID_69f2b8ca-4f87-43a4-913f-de6fd72a9dc2,Forum,2026-03-24T13:15:00,震惊！这个方法太赚了,"攻略,福利",加群领福利 点击链接注册领红包 博彩推荐 https://spam2.example.com,https://example.com/p61,u061,展示垃圾信息清洗能力；博彩引流与spam双重特征，标题标签不应干扰判别。
c63,ID_90d9ffe1-b790-43a3-8342-fff01f734d21,Bilibili,2026-03-24T13:45:00,每日打卡,"日常,签到",每天签到领奖励还可以，不过长草期签完就没事干了。,https://example.com/p63,u063,覆盖D2长草期内容填充标签的第二个案例；混合评价，签到正面+长草负面。
c64,ID_23f820b7-a865-496c-be30-84c86b30ba24,Tieba,2026-03-24T14:00:00,夸一个不知道有没有人在意的点,"UI,交互,界面",界面改版后清晰多了，UI 舒服，交互很顺，找功能方便了。,https://example.com/p64,u064,覆盖E3用户界面与交互标签；正面案例，与c23形成同标签正负对比。
c65,ID_0e7837af-2ffd-4b4a-b5ad-4d690185da97,Xiaohongshu,2026-03-24T14:15:00,每天登录五分钟退了,"长草,日常,版本",长草了，还能玩的东西不多，版本后半真的没内容填充。,https://example.com/p65,u065,"覆盖D2长草期标签的第三个案例；验证锚点词""长草""和""内容填充""的命中。"
c66,ID_381f3898-5f6c-49f6-b24f-8f924e4cdbca,NGA,2026-03-24T14:30:00,画面党进来聊聊,"画面,场景,美术",地图一般，场景辨识度不足，美术风格不够突出，记忆点不多。,https://example.com/p66,u066,覆盖F1地图场景美术标签；负面案例，与c25形成同标签正负对比。
c67,ID_0480668b806d0913,Bilibili,2026-03-24T14:45:00,整体来说还行吧,"版本,综合",版本内容还行，剧情可以，战斗有点无聊，但美术一直在线。,https://example.com/p67,u067,跨多维度浅评案例（D1/A5/C1/F1）；验证多标签识别与情感细粒度切分。
c68,ID_b4f7d8a2-6f68-4aea-adbe-8e7eea55f674,Weibo,2026-03-24T15:00:00,分享几张图,"截图,风景",图片太美了。,https://example.com/p68,u068,短文本+标题补语境案例；正文不足时标题标签可适度补充推理。
c69,ID_13068f1f-85ea-49e4-9625-4d7402f77439,Tieba,2026-03-24T15:15:00,帅就完事了,"刃,外观",模型精致，动作帅，颜值在线。,https://example.com/p69,u069,覆盖B1与F2的边界案例；短文本同时触及外观魅力和建模精度。
c70,ID_79925af0-49a5-42ac-93ba-1d75a32db553,NGA,2026-03-24T15:30:00,必须说句公道话,"运营,反馈",这次听劝了，回应很快，也确实做了调整，态度比之前好很多。,https://example.com/p70,u070,覆盖H4运营沟通标签的第二个正面案例；与c52形成对比。
c71,ID_56158c24-775f-491c-97a5-8f72b2d5c19e,NGA,2026-03-24T16:00:00,2.7打完了随便写写（长文慎入）,"2.7,剧情,战斗,综合",剧情主线推进合理，角色塑造完整，战斗有策略深度，新地图探索很好，但长草期还是没事做，养成资源不够用。,https://example.com/p71,u071,长文本多维度综合评价案例（A5/A2/C1/D3/D2/E1）；验证管道同时识别多标签+多情感的能力。
c72,ID_9f2883b8-ab9b-41f0-a2db-f7e657cc2824,Tieba,2026-03-24T16:30:00,不玩了不玩了真不玩了,"弃坑,吐槽",没动力了，后期空，目标不明确，每天上线不知道做什么，还想继续玩但真的没追求感了。,https://example.com/p72,u072,覆盖H2长期目标与动力标签；强负面案例，锚点词密集命中。
c73,ID_7fd70e99-1f58-49a2-9d07-1ab91ee0ae46,Bilibili,2026-03-24T17:00:00,【长文预警】从设计角度聊聊2.7做对了什么做错了什么,"版本分析,设计,评测",活动玩法有创意，活动剧情也有深度，不过活动后期有点换皮，重复度高了些。,https://example.com/p73,u073,覆盖C3与A6的边界切分案例；同一正文内活动玩法(C3)+活动剧情(A6)共存。
c74,ID_ea23659f-6ab1-4afd-be02-3717d822f34d,Weibo,2026-03-24T17:30:00,半年没玩回来了说两句,"回坑,版本",回坑衔接顺畅，追赶机制合理，但中间断了太久内容太多补不过来。,https://example.com/p74,u074,覆盖H3新手/回坑体验标签的正负混合案例；同一标签内正面+负面共存。
c75,ID_59f12a89-42ed-4beb-bd59-4dee803a3d37,NGA,2026-03-24T18:00:00,给想入坑的朋友参考一下,"推荐,入门,综合",世界观很稳，氛围不够的地方不多，沉浸感整体很强，适合喜欢科幻的玩家。,https://example.com/p75,u075,覆盖H1世界观沉浸感标签的第二个案例；正面为主评价，与c32互为补充。
c76,ID_52f78f6b-ac14-44da-8923-1c96eba3979f,NGA,2026-03-24T19:00:00,【万字长评】2.7版本全方位深度评测,"2.7,版本评测,综合",作为一个从1.0玩到现在的老玩家，我想系统地聊一下2.7版本的体验。首先说剧情，这个版本的主线推进节奏整体合理，信息密度适中，不像之前某些版本注水严重。角色塑造方面，新角色的故事线写得比较完整，从动机到结局都能自洽，弧光明显。不过支线剧情质量参差不齐，有几个支线明显是赶工产物，对话又臭又长但信息量很低。再说战斗系统，新角色的机制设计有创意，击破体系和行动轴的配合让配队有了更多思考空间，不再是无脑堆数值。但忘却之庭的难度曲线有点问题，前几层太简单后几层突然拉满，中间缺少过渡。地图探索方面，新星球的设计很用心，解谜有趣奖励也到位，跑图体验舒服，美术水平一如既往地高。养成方面老问题依然存在，遗器掉落随机性太强，歪词条的概率让人绝望，虽然管理界面比以前好用了但根本问题没解决。付费方面，小月卡性价比还行，但新皮肤定价偏高，质量和价格不太匹配。总的来说这个版本7.5分，内容量充足质量中上，但养成和付费体验拖了后腿。期待下个版本能在遗器系统上做出实质性改进。,https://example.com/p76,u076,超长结构化评论（约500字）；覆盖A5/A2/A6/B3/C1/C4/D3/F1/E2/G3/G4/D1多维度；验证管道对长文本多标签识别与情感细粒度切分能力。
c77,ID_d21aa942-9343-4428-80c6-01e53c75f9b1,Tieba,2026-03-24T19:30:00,我真的要气死了！！！！,"抽卡,遗器,吐槽",我真的忍不住了必须来发帖骂一顿！！！今天抽卡歪了三次三次啊朋友们！！！180抽才出一个限定你们能理解这种痛苦吗？？？我攒了两个月的星琼全没了啊啊啊啊啊！！！而且抽完了还要刷遗器，刷了一整天全是歪词条，暴击率暴击伤害一个都不来，全是效果抵抗和生命值你在逗我吗！！！我就想问问策划你们自己玩过这个游戏吗？？？你们知道刷一天遗器全是垃圾是什么感受吗？？？心态真的要炸了！！！我从1.0开始玩到现在每个版本都氪月卡，忠实付费玩家就是这种待遇吗？？？概率暗改了吧肯定暗改了我不信有人能解释为什么连续二十次都是歪的！！！之前那个版本好歹还送点星琼安慰一下，这个版本补偿也少福利也抠，活动奖励给的那点东西塞牙缝都不够！！！我身边好几个朋友都弃坑了，我也快了真的，不是不想玩是这游戏不让你好好玩啊！！！策划能不能出来说句话？？？每次出问题就装死，等玩家闹大了才发个不痛不痒的公告，真的够了！！！我现在就想说一句：退钱！！！,https://example.com/p77,u077,超长情绪化评论（约500字）；大量感叹号和问号；覆盖G1/E2/G2/H4/E1多标签；验证管道对情绪化长文本的去噪和标签提取和情感判别能力。
c78,ID_4634f892-94c1-4e49-ad8a-d6594d004e34,Bilibili,2026-03-24T20:00:00,复读机时间,"整活,玩梗",太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了太强了,https://example.com/p78,u078,复读整活型评论；纯重复文本无实质信息；验证compress_repeats与无效文本过滤能力。
c79,ID_0acea673-5f09-47fb-9760-6720ee9665ed,NGA,2026-03-24T20:15:00,经典复读,"玩梗,整活",芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞 芜湖起飞,https://example.com/p79,u079,复读整活型评论；短语级重复；验证重复压缩与无效判定的边界。
c80,ID_0f3e6154-4a25-4ba5-9709-6daebdc62364,Bilibili,2026-03-24T20:30:00,问答复读机,"整活,抽卡",这游戏好玩吗？好玩。好玩吗？好玩。好玩吗？好玩。好玩吗？好玩。好玩吗？好玩。好玩吗？好玩。好玩吗？好玩。好玩吗？好玩。好玩吗？好玩。好玩吗？好玩。好玩吗？好玩。好玩吗？好玩。,https://example.com/p80,u080,复读整活型评论；问答式重复模式；验证句式级重复检测而非单纯字符级压缩。
c81,ID_90b829a6-7c39-46c6-8150-8aa49c519d16,Tieba,2026-03-24T20:45:00,一天刷遗器的心路历程,"遗器,整活,吐槽",第1次：加油一定能出好词条！第2次：没事还有机会。第3次：歪了但问题不大。第4次：怎么又歪了。第5次：不会吧。第6次：你认真的吗。第7次：我不信了。第8次：开始怀疑人生。第9次：概率是假的。第10次：这游戏概率是假的。第11次：这游戏概率是假的。第12次：这游戏概率是假的。第13次：这游戏概率是假的。第14次：这游戏概率是假的。第15次：这游戏概率是假的。第16次：这游戏概率是假的。第17次：退坑了再见。,https://example.com/p81,u081,渐变式复读整活评论；前半段有信息后半段退化为纯复读；覆盖E2标签；验证管道对渐变退化文本的处理策略。
c82,ID_15b29bdf2704a46b,Weibo,2026-03-24T21:00:00,说到开放世界还得是原神,"原神,开放世界,对比",说实话铁道的地图探索比起原神差远了，原神的开放世界才是真正的自由探索，提瓦特大陆每个区域都有独特的风景和文化。须弥的雨林和沙漠切换太震撼了，枫丹的水下世界也是神级设计。铁道这个箱庭式地图走两步就到头了，解谜也没原神那种立体感。不过铁道的回合制战斗确实比原神的动作战斗更有策略深度，各有优劣吧。,https://example.com/p82,u082,其它游戏（原神）讨论混入案例；大量原神专属内容（提瓦特/须弥/枫丹）；验证模型是否能识别非本游戏内容并正确处理。
c83,ID_db97f8e1-da59-4143-86df-e27a9f7a4867,Bilibili,2026-03-24T21:15:00,绝区零打击感才叫好,"绝区零,战斗,对比",刚从绝区零过来的，不得不说绝区零的动作打击感真的太爽了，极限闪避和连招系统做得比铁道好太多了。铁道回合制点点点有什么意思？绝区零里面邦布的设计也很可爱，新艾利都的赛博朋克风格太帅了。不过铁道的剧情叙事确实比绝区零强，绝区零的主线有点短而且节奏不太稳。米哈游这几个游戏各有千秋吧，但要说战斗体验绝区零是最好的。,https://example.com/p83,u083,其它游戏（绝区零）讨论混入案例；大量绝区零专属内容（邦布/新艾利都）；测试跨游戏内容识别。
